2023-09-22 17:22:05 T1:29.56, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.12, T14:8.40, T15:30.90, F1:0.21, F2:0.21, F3:0.21, SR1:107.23, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:11 T1:29.56, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.32, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:21.20, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:112.19, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:16 T1:29.56, T2:22.79, T3:22.79, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:30.80, F1:0.21, F2:0.22, F3:0.21, SR1:119.55, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:22 T1:29.59, T2:22.83, T3:22.79, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.15, T14:nan, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:125.35, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:28 T1:29.59, T2:22.83, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:nan, T15:30.80, F1:0.22, F2:0.21, F3:0.21, SR1:123.17, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:33 T1:29.63, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.12, T14:nan, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:118.77, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:39 T1:29.59, T2:22.79, T3:22.76, T4:22.69, T5:22.52, T6:22.52, T7:22.29, T8:22.15, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.80, F1:0.21, F2:0.21, F3:0.21, SR1:114.77, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:44 T1:29.59, T2:22.86, T3:22.76, T4:22.72, T5:22.52, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.12, T14:nan, T15:30.70, F1:0.21, F2:0.20, F3:0.21, SR1:112.56, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:50 T1:29.59, T2:22.79, T3:22.79, T4:22.69, T5:22.52, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.12, T14:21.30, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:114.59, A:1110000.00, Circ pump counter: 0
2023-09-22 17:22:55 T1:29.59, T2:22.79, T3:22.76, T4:22.69, T5:22.49, T6:22.49, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:nan, T15:30.70, F1:0.22, F2:0.21, F3:0.21, SR1:118.06, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:01 T1:29.59, T2:22.83, T3:22.76, T4:22.69, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.12, T14:21.30, T15:30.70, F1:0.21, F2:0.21, F3:0.21, SR1:118.90, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:06 T1:29.56, T2:22.79, T3:22.79, T4:22.72, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.60, F1:0.21, F2:0.21, F3:0.21, SR1:117.28, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:12 T1:29.59, T2:22.86, T3:22.76, T4:22.69, T5:22.49, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:nan, T15:30.60, F1:0.22, F2:0.21, F3:0.20, SR1:116.67, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:17 T1:29.59, T2:22.76, T3:22.79, T4:22.69, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.08, T13:22.15, T14:21.30, T15:30.60, F1:0.21, F2:0.22, F3:0.22, SR1:112.79, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:23 T1:29.56, T2:22.79, T3:22.79, T4:22.72, T5:22.49, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:8.50, T15:30.60, F1:0.22, F2:0.21, F3:0.21, SR1:109.74, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:28 T1:29.56, T2:22.83, T3:22.79, T4:22.69, T5:22.49, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.08, T13:22.15, T14:8.50, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:110.93, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:34 T1:29.59, T2:22.83, T3:22.76, T4:22.69, T5:22.49, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:116.41, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:39 T1:29.56, T2:22.79, T3:22.76, T4:22.69, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.05, T10:22.18, T11:22.18, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:118.66, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:45 T1:29.56, T2:22.83, T3:22.79, T4:22.69, T5:22.45, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.20, F2:0.21, F3:0.21, SR1:117.17, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:50 T1:29.56, T2:22.76, T3:22.79, T4:22.69, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.18, T12:22.12, T13:22.15, T14:8.50, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:112.71, A:1110000.00, Circ pump counter: 0
2023-09-22 17:23:56 T1:29.59, T2:22.76, T3:22.79, T4:22.72, T5:22.49, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:109.31, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:01 T1:29.56, T2:22.83, T3:22.79, T4:22.72, T5:22.45, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.12, T13:22.15, T14:nan, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:107.47, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:07 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.45, T6:22.52, T7:22.29, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:109.42, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:12 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.45, T6:22.56, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.18, T14:nan, T15:30.50, F1:0.22, F2:0.21, F3:0.20, SR1:36.77, A:1110000.00, Circ pump counter: 0
